WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,ConvDF,Lat,Long,WEEK,MONTH,YEAR
00/08-02-046-09W5/0,CVE 100 HZ PEMBINA 8-2-46-9,498423,0Z41,Ensign Drilling Inc.,449,13 Jan 2021 08:30:00 PM,Drayton Valley,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-14,2046095,2046095,52.93805394,-115.186427,2,1,2021.0
00/05-23-048-06W4/0,HUSKY 3HZ S2 WILDMERE 5-23-48-6,496105,0Y52,Precision Drilling Corporation,197,14 Jan 2021 04:30:00 PM,Wainwright,0R46,Husky Oil Operations Limited,,Drill To LD,2021-01-14,23048064,23048064,53.15413957,-110.7609824,2,1,2021.0
00/16-24-058-02W6/0,TOURMALINE HZ SMOKY 16-24-58-2,498090,A6PR,Nabors Drilling Canada Limited,58,14 Jan 2021 04:01:00 PM,Drayton Valley,A573,Tourmaline Oil Corp.,,Set Surface,2021-01-14,24058026,24058026,54.02853811,-118.1489302,2,1,2021.0
03/16-15-064-06W6/0,7GEN HZ 103 KAKWA 16-15-64-6,498929,A6GJ,Dc Drilling Inc.,1,14 Jan 2021 03:15:00 AM,Grande Prairie,A54C,Seven Generations Energy Ltd.,,Drill To LD,2021-01-14,15064066,15064066,54.53806561,-118.8058884,2,1,2021.0
02/15-08-075-25W4/0,DELTASTREAM MARTENH 15-8-75-25,498829,A2CL,Komat Drilling Ltd.,3,13 Jan 2021 07:00:00 PM,St. Albert,A6YA,Deltastream Energy Corporation,,Set Surface,2021-01-14,8075254,8075254,55.48263795,-113.8356459,2,1,2021.0
AE/14-19-076-05W4/0,CVE A14 HARDY 14-19-76-5,498384,0Y52,Precision Drilling Corporation,171,14 Jan 2021 04:47:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Drill To LD,2021-01-14,19076054,19076054,55.59899293,-110.7562545,2,1,2021.0
05/08-16-076-06W4/0,CVE G05P02 LEISMER 8-16-76-6,498975,0Z41,Ensign Drilling Inc.,141,14 Jan 2021 10:21:00 AM,Bonnyville,A5D4,Cenovus Energy Inc.,,Set Surface,2021-01-14,16076064,16076064,55.58456271,-110.8597761,2,1,2021.0
07/10-20-077-05W4/0,MEG AH13P HARDY 10-20-77-5,498947,0Y55,Akita Drilling Ltd.,27,13 Jan 2021 11:30:00 PM,Bonnyville,0Z9C,MEG Energy Corp.,,Drill To LD,2021-01-14,20077054,20077054,55.68626283,-110.730374,2,1,2021.0
AA/13-19-093-09W4/0,SYNCRUDE 062N01 13-19-93-9,497173,A1YG,Big Country Drilling Ltd.,3,14 Jan 2021 12:15:00 PM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-14,19093094,19093094,57.08258595,-111.4277215,2,1,2021.0
AA/15-26-093-10W4/0,SYNCRUDE 29ROVCH194078L0 15-26-93-10,493243,0Y80,Boart Longyear Canada,41,14 Jan 2021 06:30:00 AM,Bonnyville,0362,Syncrude Canada Ltd.,,Drill To LD,2021-01-14,26093104,26093104,57.09722693,-111.4814114,2,1,2021.0
