WELL ID,WELL NAME,LICENCE,CONTRACTOR BA ID,CONTRACTOR NAME,RIG NUMBER,ACTIVITY DATE,FIELD CENTRE,BA ID,LICENSEE,NEW PROJECTED TOTAL DEPTH,ACTIVITY TYPE,DATE,ATS,WEEK,MONTH,YEAR,ConvDF,Lat,Long,ï»¿WELL ID
00/05-10-054-20W5/0,PEYTO ANSELL 5-10-54-20,497910,0Z41,Ensign Drilling Inc.,T438,12 Apr 2020 09:30:00 AM,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,,Drill To LD,2020-04-12,10054205,15,4,2020.0,10054205,53.65022017,-116.8513886,
00/12-10-062-19W5/0,CHEVRON HZ FOXCK 12-10-62-19,492893,0Z41,Ensign Drilling Inc.,144,11 Apr 2020 11:00:00 PM,St. Albert,0045,Chevron Canada Limited,,Drill To LD,2020-04-12,10062195,15,4,2020.0,10062195,54.34860043,-116.7515687,
00/09-20-069-05W6/0,INCEPTION EXP HZ ELM 9-20-69-5,497024,A2EN,Ironhand Drilling Inc.,3,12 Apr 2020 03:00:00 AM,Grande Prairie,A600,Inception Exploration Ltd.,,Drill To LD,2020-04-12,20069056,15,4,2020.0,20069056,54.98872981,-118.7124245,
08/15-04-066-04W4/0,IMP H91-H05 LEMING 15-4-66-4,497583,0Y55,Akita Drilling Ltd.,21,10 Apr 2020 02:15:00 AM,Bonnyville,7,Imperial Oil Resources Limited,,Set Surface,2020-04-10,4066044,15,4,2020.0,4066044,54.68255026,-110.5353963,
00/12-07-032-01W4/0,BAYTEX HZ 12C ESTHER 12-7-32-1,497372,A2CL,Komat Drilling Ltd.,3,06 Feb 2020 12:00:00 PM,Medicine Hat,0RL9,Baytex Energy Ltd.,,Set Surface,2020-02-06,7032014,6,2,2020.0,7032014,51.72898979,-110.123199,
02/04-22-034-03W4/0,RHE 102 PROVOST 4-22-34-3,496094,0GE9,Tempco Drilling Company Inc.,6,06 Feb 2020 12:30:00 PM,Wainwright,A6W2,Rolling Hills Energy Ltd.,,Drill To LD,2020-02-06,22034034,6,2,2020.0,22034034,51.93264269,-110.3357928,
00/06-29-034-09W4/0,TAC 16-30 HZ PROVOST 6-29-34-9,494719,0GE9,Tempco Drilling Company Inc.,8,06 Feb 2020 05:45:00 AM,Wainwright,A5TT,Tamarack Acquisition Corp.,,Drill To LD,2020-02-06,29034094,6,2,2020.0,29034094,51.94741194,-111.233672,
02/14-32-036-03W4/0,SURGE ENERGY 102 PROVOST 14-32-36-3,494786,A08C,Savanna Drilling Corp.,431,05 Feb 2020 09:30:00 AM,Wainwright,0YK4,Surge Energy Inc.,,Drill To LD,2020-02-06,32036034,6,2,2020.0,32036034,52.13567452,-110.3860374,
00/09-15-057-27W5/0,TOURMALINE HZ WILD RIV 9-15-57-27,494356,A6PR,Nabors Drilling Canada Limited,58,06 Feb 2020 03:38:00 AM,Drayton Valley,A573,Tourmaline Oil Corp.,,Resumption,2020-02-06,15057275,6,2,2020.0,15057275,53.92667655,-117.9160235,
06/11-24-058-05W4/0,PENGROWTH D03-F2 LNDBRGH 11-24-58-5,496189,0Y55,Akita Drilling Ltd.,26,05 Feb 2020 09:00:00 PM,Bonnyville,A5K1,Cona Resources Ltd.,,Drill To LD,2020-02-06,24058054,6,2,2020.0,24058054,54.02778570000001,-110.599248,
